Vorname;Nachname;KundenId;Telefon;E-Mail;Geburtsdatum;Geschlecht;AdressId
Yeo;Walters;1000000000;(+49) 830 1383-0890;Phasellus.elit.pede@atpretium.ca;01.02.53;0;F452064329
Claus;Engl;1000000001;(+49) 2603 12600278;c.engler@gmx.de;12.03.92;0;A721387523
Bernhard;Moos;1000000002;(+49) 3622 85820-588;bernhard.moss@yahoo.com;12.01.99;0;P483123930
Tim;Broad;1000000003;0371 32608889;t.broad@gmail.com;12.12.90;0;G906473022
Karl;Oliver;1000000004;(+49) 78 385 9208-2906;karloliver@Mauris.edu;01.01.50;0;V905408138
Peter;Müller;1000000005;0049 85 622 9152-2291;pede.Cras@felispurus.edu;22.07.70;0;I435988779
Hans;Mustermann;1000000006;0496 1071-3298;vulputate.eu.odio@dolor.com;31.08.66;0;S233472417
Nathan;Ball;1000000007;(+49) 69 965 8308-1234;natha.ball@augue.edu;21.11.74;0;Y502067781
Leroy;Kelly;1000000009;0757 8650-6558;ultricies.ornare@eleifendCrassed.edu;26.12.94;0;O901682918
Petra;Maier;1000000010;0049 734 3902-5524;dignissim@ut.com;24.12.94;1;F592172131
Paula;Bradley;1000000011;0696 4806-6792;quis.diam@atpede.edu;30.09.58;1;L005278210
Erasmus;Houston;1000000012;0314 1354-1643;pede.Cras@felispurus.edu;09.03.85;0;E395677078
Peter;Dennis;1000000013;0222 4815-5127;sodales.purus@id.ca;27.07.55;0;E093646069
Reece;Müller;1000000014;(+49) 436 8222-3511;erat.volutpat@sapienNunc.edu;30.08.61;1;E290008428
Judith;Molina;1000000015;0 961 4872-6610;Cum@sollicitudincommodoipsum.ca;23.04.69;1;U863509002
Zelenia;Carlson;1000000016;0321 7619-1878;viverra.Maecenas.iaculis@sem.edu;22.06.88;1;T823256844
Nicole;Baier;1000000017;0694 1639-6501;Sed.molestie.Sed@blandit.ca;21.12.98;1;B078654702
Bevis;Estrada;1000000018;(+49) 270 6727-5668;Aenean@arcu.com;02.02.78;0;P368357368
Marina;Muller;1000000019;(+49) 329 5543-0933;purus@atortor.ca;08.08.71;1;A365644864
